Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
^eˤ	eˤ	4	U+005E U+0065 U+02E4	"eˤle,eˤnkdu,eˤčʼ_sotʼu_eχːas"	Archi
^gʷ	gʷ	8	U+005E U+0067 U+02B7	"gʷaci,gʷat,gʷeniši"	Archi
^iː	iː	2	U+005E U+0069 U+02D0	"iːzut,iːzut_di"	Archi
^iˤ	iˤ	1	U+005E U+0069 U+02E4	"iˤntim_maj"	Archi
^k'	kʼ	5	U+005E U+006B U+0027	"k'alaroq',k'anarakdut,k'uc'i"	
^kʷ	kʷ	11	U+005E U+006B U+02B7	"kʷatʼ,kʷač'et,kʷetʼ"	Archi
^kʼ	kʼ	8	U+005E U+006B U+02BC	"kʼan,kʼiri,kʼumkʼum"	Archi
^k’	kʼ	12	U+005E U+006B U+2019	"k’an,k’elkes,k’urt’a"	Archi
^oː	oː	1	U+005E U+006F U+02D0	"oːk'ur"	Archi
^oˤ	oˤ	14	U+005E U+006F U+02E4	"oˤbo,oˤržut,oˤč'lekːi"	Archi
^p'	pʼ	1	U+005E U+0070 U+0027	"p'ahbos"	
^q'	qʼ	8	U+005E U+0071 U+0027	"q'arq'i_nocʼ,q'ič'itːut,q'iʁbotːut"	
^qʷ	qʷ	4	U+005E U+0071 U+02B7	"qʷal,qʷan,qʷat'linnu"	Archi
^qʼ	qʼ	12	U+005E U+0071 U+02BC	"qʼarzlis_kes,qʼilba,qʼul"	Archi
^qˤ	qˤ	11	U+005E U+0071 U+02E4	"qˤannatːut,qˤin,qˤošol"	Archi
^q’	qʼ	12	U+005E U+0071 U+2019	"q’iʁbos,q’iʁtʼi,q’orol_bošor"	Archi
^sw	s w	1	U+005E U+0073 U+0077	"sweča"	Archi
^sː	sː	22	U+005E U+0073 U+02D0	"sːas,sːol,sːupun"	Archi
^t'	tʼ	1	U+005E U+0074 U+0027	"t'ekɬ'on"	
^tʼ	tʼ	7	U+005E U+0074 U+02BC	"tʼeˤčʼu,tʼo,tʼuj"	Archi
^t’	tʼ	10	U+005E U+0074 U+2019	"t’anq’dut,t’inna,t’itːu_ušdu"	Archi
^uˤ	uˤ	3	U+005E U+0075 U+02E4	"uˤnšːəla,uˤrbət'i,uˤrdek"	Archi
^č'	tʃʼ	11	U+005E U+010D U+0027	"č'aːˤratːut,č'aˤmmus,č'iq'ʷˤ_kes"	
^čʼ	tʃʼ	13	U+005E U+010D U+02BC	"čʼaːˤri,čʼer,čʼor"	Archi
^č‘	tʃʼ	1	U+005E U+010D U+2018	"č‘uˤhdu"	Archi
^č’	tʃʼ	1	U+005E U+010D U+2019	"č’ik’ijtːu"	Archi
^šʷ	ʃʷ	1	U+005E U+0161 U+02B7	"šʷitʼəla"	Archi
^šː	tʃː	9	U+005E U+0161 U+02D0	"šːak,šːik'ʷ,šːuˤmmuˤs"	Archi
^šˤ	ʃˤ	2	U+005E U+0161 U+02E4	"šˤal,šˤes"	Archi
^žʷ	ʒʷ	1	U+005E U+017E U+02B7	"žʷen"	Archi
^ɬː	ɬː	24	U+005E U+026C U+02D0	"ɬːan,ɬːan_as,ɬːo"	Archi
^ʁˤ	ʁˤ	1	U+005E U+0281 U+02E4	"ʁˤažbos"	Archi
