pk,jsondata,id,name,description,markup_description,unit_pk,unitparameter_pk,contribution_pk,unitdomainelement_pk,frequency,version
10774,,73101839657912690-a,,,,8396,2,4,1075,,1
10775,,73101839292589420-a,,,,8397,2,4,1070,,1
10776,,73101839995318898-a,,,,8398,2,4,1075,,1
10777,,73101839578277967-a,,,,8399,2,4,1074,,1
10778,,73101839578277967-cs,,,,8399,1,4,81,,1
10779,,7310183994883937-a,,,,8400,2,4,1071,,1
10780,,73101839838400638-a,,,,8401,2,4,1071,,1
10781,,73101839153633668-a,,,,8402,2,4,1075,,1
10782,,73101839298695793-a,,,,8403,2,4,1071,,1
10783,,73101839827247903-a,,,,8404,2,4,1075,,1
10784,,73101839465782705-a,,,,8405,2,4,1074,,1
10785,,73101839465782705-cs,,,,8405,1,4,81,,1
10786,,73101839676836246-a,,,,8406,2,4,1075,,1
10787,,73101839517886819-a,,,,8407,2,4,1076,,1
10788,,73101839517886819-cs,,,,8407,1,4,86,,1
10789,,7310183957400996-a,,,,8408,2,4,1076,,1
10790,,7310183957400996-cs,,,,8408,1,4,86,,1
10791,,73101839311917049-a,,,,8409,2,4,1075,,1
10792,,73101839570655886-a,,,,8410,2,4,1075,,1
10793,,73101839332152837-a,,,,8411,2,4,1071,,1
10794,,73101839125193877-a,,,,8412,2,4,1071,,1
10795,,73101839130422491-a,,,,8413,2,4,1071,,1
10796,,731018397112117-a,,,,8414,2,4,1071,,1
10797,,73101839559082123-a,,,,8415,2,4,1075,,1
10798,,73101839735079783-a,,,,8416,2,4,1075,,1
10799,,73101839807756893-a,,,,8417,2,4,1074,,1
10800,,73101839807756893-cs,,,,8417,1,4,81,,1
10801,,73101839319729501-a,,,,8418,2,4,1070,,1
10802,,73101839873532982-a,,,,8419,2,4,1075,,1
10803,,73101839844251246-a,,,,8420,2,4,1074,,1
10804,,73101839844251246-cs,,,,8420,1,4,81,,1
10805,,73101839502765361-a,,,,8421,2,4,1075,,1
10806,,73101839502765361-cs,,,,8421,1,4,81,,1
10807,,73101839321086915-a,,,,8422,2,4,1071,,1
10808,,73101839216750400-a,,,,8423,2,4,1075,,1
10809,,73101839931490276-a,,,,8424,2,4,1076,,1
10810,,73101839931490276-cs,,,,8424,1,4,85,,1
10811,,73101839549032267-a,,,,8425,2,4,1073,,1
10812,,73101839549032267-cs,,,,8425,1,4,85,,1
10813,,73101839556853090-a,,,,8426,2,4,1075,,1
10814,,73101839189227745-a,,,,8427,2,4,1075,,1
10815,,73101839538759942-a,,,,8428,2,4,1075,,1
10816,,73101839538759942-cs,,,,8428,1,4,81,,1
10817,,73101839206650000-a,,,,8429,2,4,1075,,1
10818,,73101839725406538-a,,,,8430,2,4,1075,,1
10819,,73101839892852278-a,,,,8431,2,4,1075,,1
10820,,73101839677958048-a,,,,8432,2,4,1075,,1
10821,,7310183935860934-a,,,,8433,2,4,1070,,1
10822,,73101839596934899-a,,,,8434,2,4,1071,,1
10823,,731018397351147-a,,,,8435,2,4,1075,,1
10824,,73101839183722281-a,,,,8436,2,4,1071,,1
10825,,73101839361994961-a,,,,8437,2,4,1075,,1
10826,,7310183957329731-a,,,,8438,2,4,1075,,1
10827,,73101839512610003-a,,,,8439,2,4,1075,,1
10828,,73101839255094579-a,,,,8440,2,4,1071,,1
10829,,73101839123835071-a,,,,8441,2,4,1075,,1
10830,,73101839716563509-a,,,,8442,2,4,1069,,1
10831,,73101839314075837-a,,,,8443,2,4,1075,,1
10832,,73101839227951550-a,,,,8444,2,4,1071,,1
10833,,73101839220511153-a,,,,8445,2,4,1073,,1
10834,,73101839220511153-cs,,,,8445,1,4,85,,1
10835,,73101839284740645-a,,,,8446,2,4,1071,,1
10836,,73101839371618034-a,,,,8447,2,4,1069,,1
10837,,73101839221561044-a,,,,8448,2,4,1074,,1
10838,,73101839221561044-cs,,,,8448,1,4,81,,1
10839,,73101839364317139-a,,,,8449,2,4,1075,,1
10840,,73101839531361252-a,,,,8450,2,4,1069,,1
10841,,73101839506660634-a,,,,8451,2,4,1075,,1
10842,,73101839740746409-a,,,,8452,2,4,1075,,1
10843,,73101839176810402-a,,,,8453,2,4,1071,,1
10844,,73101839703431208-a,,,,8454,2,4,1071,,1
10845,,73101839919675194-a,,,,8455,2,4,1075,,1
10846,,73101839907832802-a,,,,8456,2,4,1074,,1
10847,,73101839907832802-cs,,,,8456,1,4,81,,1
10848,,73101839958718521-a,,,,8457,2,4,1075,,1
10849,,73101839425042625-a,,,,8458,2,4,1071,,1
10850,,73101839614427537-a,,,,8459,2,4,1075,,1
10851,,73101839614427537-cs,,,,8459,1,4,85,,1
10852,,73101839855612371-a,,,,8460,2,4,1075,,1
10853,,73101839547342172-a,,,,8461,2,4,1075,,1
10854,,73101839890944605-a,,,,8462,2,4,1075,,1
10855,,73101839644780195-a,,,,8463,2,4,1075,,1
10856,,73101839448762278-a,,,,8464,2,4,1075,,1
10857,,7310183940964014-a,,,,8465,2,4,1070,,1
10858,,73101839557854305-a,,,,8466,2,4,1071,,1
10859,,73101839667874028-a,,,,8467,2,4,1075,,1
10860,,73101839218462224-a,,,,8468,2,4,1075,,1
10861,,73101839561856993-a,,,,8469,2,4,1071,,1
10862,,73101839789752804-a,,,,8470,2,4,1075,,1
10863,,73101839535914776-a,,,,8471,2,4,1075,,1
10864,,73101839836650052-a,,,,8472,2,4,1069,,1
10865,,73101839563379721-a,,,,8473,2,4,1075,,1
10866,,73101839193368905-a,,,,8474,2,4,1075,,1
10867,,73101839280895761-a,,,,8475,2,4,1071,,1
10868,,73101839985138622-a,,,,8476,2,4,1075,,1
10869,,73101839678574356-a,,,,8477,2,4,1077,,1
10870,,73101839678574356-cs,,,,8477,1,4,83,,1
10871,,73101839165153175-a,,,,8478,2,4,1073,,1
10872,,73101839135916522-a,,,,8479,2,4,1077,,1
10873,,73101839135916522-cs,,,,8479,1,4,82,,1
10874,,7310183934792723-a,,,,8480,2,4,1075,,1
10875,,7310183934792723-cs,,,,8480,1,4,81,,1
10876,,73101839625515098-a,,,,8481,2,4,1071,,1
10877,,73101839420556317-a,,,,8482,2,4,1075,,1
10878,,73101839877346751-a,,,,8483,2,4,1071,,1
10879,,73101839755413643-a,,,,8484,2,4,1071,,1
10880,,73101839638554548-a,,,,8485,2,4,1075,,1
10881,,73101839377726986-a,,,,8486,2,4,1076,,1
10882,,73101839377726986-cs,,,,8486,1,4,85,,1
10883,,73101839674143669-a,,,,8487,2,4,1075,,1
10884,,73101839689128393-a,,,,8488,2,4,1075,,1
10885,,73101839185002388-a,,,,8489,2,4,1075,,1
10886,,73101839205961789-a,,,,8490,2,4,1071,,1
10887,,73101839743626900-a,,,,8491,2,4,1071,,1
10888,,73101839882717116-a,,,,8492,2,4,1074,,1
10889,,73101839882717116-cs,,,,8492,1,4,81,,1
10890,,73101839953886046-a,,,,8493,2,4,1074,,1
10891,,73101839953886046-cs,,,,8493,1,4,81,,1
10892,,73101839346382963-a,,,,8494,2,4,1075,,1
10893,,73101839709056488-a,,,,8495,2,4,1071,,1
10894,,73101839353276172-a,,,,8496,2,4,1075,,1
10895,,73101839239616215-a,,,,8497,2,4,1070,,1
10896,,73101839896992391-a,,,,8498,2,4,1074,,1
10897,,73101839896992391-cs,,,,8498,1,4,81,,1
10898,,73101839722257349-a,,,,8499,2,4,1075,,1
10899,,73101839277210472-a,,,,8500,2,4,1075,,1
10900,,73101839485149258-a,,,,8501,2,4,1077,,1
10901,,73101839485149258-cs,,,,8501,1,4,84,,1
10902,,73101839915161141-a,,,,8502,2,4,1071,,1
10903,,73101839341490264-a,,,,8503,2,4,1077,,1
10904,,73101839341490264-cs,,,,8503,1,4,84,,1
10905,,73101839663157630-a,,,,8504,2,4,1071,,1
10906,,73101839272574931-a,,,,8505,2,4,1074,,1
10907,,73101839272574931-cs,,,,8505,1,4,81,,1
10908,,73101839241766383-a,,,,8506,2,4,1075,,1
10909,,73101839733224243-a,,,,8507,2,4,1074,,1
10910,,73101839733224243-cs,,,,8507,1,4,81,,1
10911,,73101839981310758-a,,,,8508,2,4,1075,,1
10912,,73101839369905514-a,,,,8509,2,4,1075,,1
10913,,7310183911580486-a,,,,8510,2,4,1075,,1
10914,,73101839265996907-a,,,,8511,2,4,1077,,1
10915,,73101839265996907-cs,,,,8511,1,4,84,,1
10916,,73101839159354168-a,,,,8512,2,4,1077,,1
10917,,73101839159354168-cs,,,,8512,1,4,84,,1
10918,,73101839472046850-a,,,,8513,2,4,1077,,1
10919,,73101839472046850-cs,,,,8513,1,4,83,,1
10920,,73101839533394309-a,,,,8514,2,4,1071,,1
10921,,7310183962484172-a,,,,8515,2,4,1071,,1
10922,,73101839206920949-a,,,,8516,2,4,1075,,1
10923,,73101839801668795-a,,,,8517,2,4,1075,,1
10924,,73101839801668795-cs,,,,8517,1,4,85,,1
10925,,73101839306833625-a,,,,8518,2,4,1075,,1
10926,,73101839776578138-a,,,,8519,2,4,1076,,1
10927,,73101839776578138-cs,,,,8519,1,4,85,,1
10928,,73101839977391534-a,,,,8520,2,4,1070,,1
10929,,73101839977391534-cs,,,,8520,1,4,85,,1
10930,,73101839273582290-a,,,,8521,2,4,1077,,1
10931,,73101839273582290-cs,,,,8521,1,4,83,,1
10932,,73101839476648753-a,,,,8522,2,4,1077,,1
10933,,73101839476648753-cs,,,,8522,1,4,83,,1
10934,,73101839268551546-a,,,,8523,2,4,1071,,1
10935,,73101839546702320-a,,,,8524,2,4,1074,,1
10936,,73101839546702320-cs,,,,8524,1,4,85,,1
10937,,73101839597198044-a,,,,8525,2,4,1077,,1
10938,,73101839597198044-cs,,,,8525,1,4,83,,1
10939,,73101839556946117-a,,,,8526,2,4,1069,,1
10940,,73101839794444938-a,,,,8527,2,4,1077,,1
10941,,73101839794444938-cs,,,,8527,1,4,83,,1
10942,,73101839478441680-a,,,,8528,2,4,1071,,1
10943,,73101839323693970-a,,,,8529,2,4,1070,,1
10944,,73101839323693970-cs,,,,8529,1,4,85,,1
10945,,73101839128901098-a,,,,8530,2,4,1075,,1
10946,,73101839481491358-a,,,,8531,2,4,1075,,1
10947,,7310183948427575-a,,,,8532,2,4,1077,,1
10948,,7310183948427575-cs,,,,8532,1,4,83,,1
10949,,7310183913038236-a,,,,8533,2,4,1072,,1
10950,,73101839633516199-a,,,,8534,2,4,1069,,1
10951,,73101839855710766-a,,,,8535,2,4,1070,,1
10952,,73101839371292575-a,,,,8536,2,4,1076,,1
10953,,73101839371292575-cs,,,,8536,1,4,85,,1
10954,,73101839804358797-a,,,,8537,2,4,1071,,1
10955,,73101839540116296-a,,,,8538,2,4,1075,,1
10956,,73101839195847283-a,,,,8539,2,4,1075,,1
10957,,73101839188522340-a,,,,8540,2,4,1075,,1
10958,,73101839151147809-a,,,,8541,2,4,1070,,1
10959,,73101839206748535-a,,,,8542,2,4,1071,,1
10960,,73101839313534190-a,,,,8543,2,4,1075,,1
10961,,73101839482790942-a,,,,8544,2,4,1071,,1
10962,,73101839308722004-a,,,,8545,2,4,1071,,1
10963,,73101839143430711-a,,,,8546,2,4,1077,,1
10964,,73101839143430711-cs,,,,8546,1,4,83,,1
10965,,73101839408112904-a,,,,8547,2,4,1075,,1
10966,,73101839973522580-a,,,,8548,2,4,1075,,1
10967,,73101839853754208-a,,,,8549,2,4,1070,,1
10968,,73101839473575207-a,,,,8550,2,4,1071,,1
10969,,73101839674216218-a,,,,8551,2,4,1074,,1
10970,,73101839674216218-cs,,,,8551,1,4,85,,1
10971,,73101839367255175-a,,,,8552,2,4,1069,,1
10972,,73101839210196695-a,,,,8553,2,4,1075,,1
10973,,73101839586800606-a,,,,8554,2,4,1077,,1
10974,,73101839586800606-cs,,,,8554,1,4,83,,1
10975,,7310183977211813-a,,,,8555,2,4,1071,,1
10976,,73101839750423221-a,,,,8556,2,4,1071,,1
10977,,73101839783338798-a,,,,8557,2,4,1073,,1
10978,,73101839783338798-cs,,,,8557,1,4,85,,1
10979,,73101839868715402-a,,,,8558,2,4,1070,,1
10980,,73101839868715402-cs,,,,8558,1,4,85,,1
10981,,73101839477718114-a,,,,8559,2,4,1075,,1
10982,,73101839274594019-a,,,,8560,2,4,1070,,1
10983,,73101839748993197-a,,,,8561,2,4,1074,,1
10984,,73101839748993197-cs,,,,8561,1,4,81,,1
10985,,73101839661247114-a,,,,8562,2,4,1071,,1
10986,,73101839351503008-a,,,,8563,2,4,1075,,1
10987,,73101839882054141-a,,,,8564,2,4,1075,,1
10988,,73101839674985993-a,,,,8565,2,4,1070,,1
10989,,73101839674985993-cs,,,,8565,1,4,85,,1
10990,,73101839754197961-a,,,,8566,2,4,1070,,1
10991,,73101839253445441-a,,,,8567,2,4,1070,,1
10992,,73101839255849853-a,,,,8568,2,4,1075,,1
10993,,73101839254816172-a,,,,8569,2,4,1070,,1
10994,,73101839254816172-cs,,,,8569,1,4,85,,1
10995,,73101839524162806-a,,,,8570,2,4,1075,,1
10996,,73101839196739157-a,,,,8571,2,4,1075,,1
10997,,7310183948558427-a,,,,8572,2,4,1069,,1
10998,,73101839814803934-a,,,,8573,2,4,1077,,1
10999,,73101839814803934-cs,,,,8573,1,4,83,,1
11000,,73101839325879745-a,,,,8574,2,4,1075,,1
11001,,73101839885249243-a,,,,8575,2,4,1075,,1
11002,,73101839493594716-a,,,,8576,2,4,1069,,1
11003,,73101839871780422-a,,,,8577,2,4,1075,,1
11004,,73101839771576125-a,,,,8578,2,4,1071,,1
11005,,73101839661679371-a,,,,8579,2,4,1071,,1
11006,,73101839508567709-a,,,,8580,2,4,1075,,1
11007,,73101839397575479-a,,,,8581,2,4,1071,,1
11008,,73101839901679023-a,,,,8582,2,4,1077,,1
11009,,73101839901679023-cs,,,,8582,1,4,83,,1
11010,,73101839498835603-a,,,,8583,2,4,1071,,1
11011,,73101839893800871-a,,,,8584,2,4,1075,,1
11012,,73101839785626869-a,,,,8585,2,4,1071,,1
11013,,73101839448530128-a,,,,8586,2,4,1077,,1
11014,,73101839448530128-cs,,,,8586,1,4,83,,1
11015,,73101839393786265-a,,,,8587,2,4,1071,,1
11016,,73101839907768162-a,,,,8588,2,4,1075,,1
11017,,73101839903595471-a,,,,8589,2,4,1075,,1
11018,,73101839805436585-a,,,,8590,2,4,1071,,1
11019,,73101839936069126-a,,,,8591,2,4,1071,,1
11020,,7310183941452866-a,,,,8592,2,4,1071,,1
11021,,73101839639289385-a,,,,8593,2,4,1071,,1
11022,,73101839943201515-a,,,,8594,2,4,1075,,1
11023,,73101839971536570-a,,,,8595,2,4,1075,,1
11024,,73101839833735402-a,,,,8596,2,4,1074,,1
11025,,73101839833735402-cs,,,,8596,1,4,81,,1
11026,,73101839436917596-a,,,,8597,2,4,1071,,1
11027,,73101839886640132-a,,,,8598,2,4,1071,,1
11028,,73101839836000428-a,,,,8599,2,4,1075,,1
11029,,73101839947760539-a,,,,8600,2,4,1075,,1
11030,,73101839138922625-a,,,,8601,2,4,1075,,1
11031,,73101839887814525-a,,,,8602,2,4,1075,,1
11032,,73101839788615121-a,,,,8603,2,4,1073,,1
11033,,73101839788615121-cs,,,,8603,1,4,85,,1
11034,,73101839387750872-a,,,,8604,2,4,1071,,1
11035,,73101839642982752-a,,,,8605,2,4,1070,,1
11036,,73101839642982752-cs,,,,8605,1,4,85,,1
11037,,731018391147305-a,,,,8606,2,4,1071,,1
11038,,73101839504264750-a,,,,8607,2,4,1075,,1
11039,,73101839211748825-a,,,,8608,2,4,1075,,1
11040,,73101839390996268-a,,,,8609,2,4,1075,,1
11041,,73101839843074094-a,,,,8610,2,4,1075,,1
11042,,73101839393543919-a,,,,8611,2,4,1075,,1
11043,,73101839725516683-a,,,,8612,2,4,1075,,1
11044,,73101839944157191-a,,,,8613,2,4,1075,,1
11045,,73101839298066821-a,,,,8614,2,4,1075,,1
11046,,73101839117554497-a,,,,8615,2,4,1071,,1
11047,,73101839823959780-a,,,,8616,2,4,1075,,1
11048,,7310183990652467-a,,,,8617,2,4,1075,,1
11049,,73101839146835485-a,,,,8618,2,4,1071,,1
11050,,73101839521082198-a,,,,8619,2,4,1075,,1
11051,,73101839437326847-a,,,,8620,2,4,1073,,1
11052,,73101839437326847-cs,,,,8620,1,4,85,,1
11053,,73101839274447174-a,,,,8621,2,4,1077,,1
11054,,73101839274447174-cs,,,,8621,1,4,84,,1
11055,,73101839665146646-a,,,,8622,2,4,1077,,1
11056,,73101839665146646-cs,,,,8622,1,4,83,,1
11057,,73101839327987088-a,,,,8623,2,4,1075,,1
11058,,73101839505102463-a,,,,8624,2,4,1077,,1
11059,,73101839423673043-a,,,,8625,2,4,1075,,1
11060,,73101839637488114-a,,,,8626,2,4,1075,,1
11061,,73101839991594528-a,,,,8627,2,4,1071,,1
11062,,73101839724011015-a,,,,8628,2,4,1075,,1
11063,,7310183914583596-a,,,,8629,2,4,1074,,1
11064,,7310183914583596-cs,,,,8629,1,4,81,,1
11065,,73101839275437292-a,,,,8630,2,4,1071,,1
11066,,73101839209128194-a,,,,8631,2,4,1074,,1
11067,,73101839209128194-cs,,,,8631,1,4,81,,1
11068,,73101839758825831-a,,,,8632,2,4,1071,,1
11069,,73101839353984275-a,,,,8633,2,4,1075,,1
11070,,73101839347454257-a,,,,8634,2,4,1075,,1
11071,,73101839397902533-a,,,,8635,2,4,1071,,1
11072,,73101839517327161-a,,,,8636,2,4,1075,,1
11073,,73101839376749188-a,,,,8637,2,4,1071,,1
11074,,73101839917559700-a,,,,8638,2,4,1075,,1
11075,,73101839364893282-a,,,,8639,2,4,1077,,1
11076,,73101839364893282-cs,,,,8639,1,4,83,,1
11077,,73101839172837069-a,,,,8640,2,4,1075,,1
11078,,73101839572674562-a,,,,8641,2,4,1071,,1
11079,,73101839671561824-a,,,,8642,2,4,1069,,1
11080,,7310183930796327-a,,,,8643,2,4,1069,,1
11081,,73101839481160493-a,,,,8644,2,4,1075,,1
11082,,73101839422863755-a,,,,8645,2,4,1077,,1
11083,,73101839422863755-cs,,,,8645,1,4,83,,1
11084,,73101839915016952-a,,,,8646,2,4,1071,,1
11085,,73101839776753437-a,,,,8647,2,4,1075,,1
11086,,73101839845680912-a,,,,8648,2,4,1075,,1
11087,,73101839253273024-a,,,,8649,2,4,1075,,1
11088,,73101839841121066-a,,,,8650,2,4,1071,,1
11089,,73101839893203176-a,,,,8651,2,4,1074,,1
11090,,73101839893203176-cs,,,,8651,1,4,81,,1
11091,,73101839445800495-a,,,,8652,2,4,1075,,1
11092,,73101839816679029-a,,,,8653,2,4,1075,,1
11093,,73101839831428782-a,,,,8654,2,4,1069,,1
11094,,73101839432131475-a,,,,8655,2,4,1075,,1
11095,,73101839158173418-a,,,,8656,2,4,1075,,1
11096,,73101839806304056-a,,,,8657,2,4,1075,,1
11097,,73101839313501765-a,,,,8658,2,4,1074,,1
11098,,73101839313501765-cs,,,,8658,1,4,81,,1
11099,,73101839252230941-a,,,,8659,2,4,1071,,1
11100,,7310183935741423-a,,,,8660,2,4,1071,,1
11101,,73101839605124108-a,,,,8661,2,4,1075,,1
11102,,7310183956536116-a,,,,8662,2,4,1075,,1
11103,,73101839804376123-a,,,,8663,2,4,1071,,1
11104,,7310183974019558-a,,,,8664,2,4,1075,,1
11105,,73101839829646188-a,,,,8665,2,4,1077,,1
11106,,73101839829646188-cs,,,,8665,1,4,83,,1
11107,,73101839438823819-a,,,,8666,2,4,1073,,1
11108,,73101839438823819-cs,,,,8666,1,4,85,,1
11109,,73101839297141366-a,,,,8667,2,4,1075,,1
11110,,7310183995297817-a,,,,8668,2,4,1071,,1
11111,,73101839714217271-a,,,,8669,2,4,1074,,1
11112,,73101839714217271-cs,,,,8669,1,4,81,,1
11113,,7310183999686862-a,,,,8670,2,4,1075,,1
11114,,73101839939551854-a,,,,8671,2,4,1075,,1
11115,,73101839462723733-a,,,,8672,2,4,1069,,1
11116,,73101839599479470-a,,,,8673,2,4,1074,,1
11117,,73101839599479470-cs,,,,8673,1,4,81,,1
11118,,73101839223456240-a,,,,8674,2,4,1075,,1
11119,,73101839223456240-cs,,,,8674,1,4,81,,1
11120,,73101839472987723-a,,,,8675,2,4,1075,,1
11121,,73101839472987723-cs,,,,8675,1,4,81,,1
11122,,73101839242955738-a,,,,8676,2,4,1075,,1
11123,,73101839812807753-a,,,,8677,2,4,1077,,1
11124,,73101839812807753-cs,,,,8677,1,4,84,,1
11125,,73101839159469926-a,,,,8678,2,4,1075,,1
11126,,7310183942848243-a,,,,8679,2,4,1071,,1
11127,,73101839263377241-a,,,,8680,2,4,1070,,1
11128,,73101839162838261-a,,,,8681,2,4,1073,,1
11129,,73101839162838261-cs,,,,8681,1,4,85,,1
11130,,73101839726490210-a,,,,8682,2,4,1075,,1
11131,,73101839726490210-cs,,,,8682,1,4,85,,1
11132,,73101839322577527-a,,,,8683,2,4,1070,,1
11133,,73101839322577527-cs,,,,8683,1,4,85,,1
11134,,73101839644293968-a,,,,8684,2,4,1077,,1
11135,,73101839644293968-cs,,,,8684,1,4,84,,1
11136,,73101839611433549-a,,,,8685,2,4,1075,,1
11137,,73101839725903173-a,,,,8686,2,4,1075,,1
11138,,73101839214807347-a,,,,8687,2,4,1075,,1
11139,,73101839214807347-cs,,,,8687,1,4,85,,1
11140,,73101839568751256-a,,,,8688,2,4,1073,,1
11141,,73101839568751256-cs,,,,8688,1,4,85,,1
11142,,7310183953420635-a,,,,8689,2,4,1071,,1
11143,,73101839244511173-a,,,,8690,2,4,1070,,1
11144,,73101839302937623-a,,,,8691,2,4,1075,,1
11145,,73101839746253255-a,,,,8692,2,4,1071,,1
11146,,73101839548405583-a,,,,8693,2,4,1074,,1
11147,,73101839548405583-cs,,,,8693,1,4,81,,1
11148,,7310183962766345-a,,,,8694,2,4,1071,,1
11149,,73101839442729310-a,,,,8695,2,4,1074,,1
11150,,73101839442729310-cs,,,,8695,1,4,81,,1
11151,,73101839180815559-a,,,,8696,2,4,1076,,1
11152,,73101839180815559-cs,,,,8696,1,4,85,,1
11153,,7310183920195311-a,,,,8697,2,4,1077,,1
11154,,7310183920195311-cs,,,,8697,1,4,83,,1
11155,,73101839406891456-a,,,,8698,2,4,1077,,1
11156,,73101839406891456-cs,,,,8698,1,4,83,,1
11157,,73101839307945738-a,,,,8699,2,4,1075,,1
11158,,7310183991744254-a,,,,8700,2,4,1076,,1
11159,,7310183991744254-cs,,,,8700,1,4,85,,1
11160,,73101839103782815-a,,,,8701,2,4,1072,,1
11161,,73101839779722666-a,,,,8702,2,4,1076,,1
11162,,73101839779722666-cs,,,,8702,1,4,85,,1
11163,,73101839911021893-a,,,,8703,2,4,1076,,1
11164,,73101839911021893-cs,,,,8703,1,4,85,,1
11165,,73101839361085992-a,,,,8704,2,4,1074,,1
11166,,73101839361085992-cs,,,,8704,1,4,81,,1
11167,,73101839211396087-a,,,,8705,2,4,1071,,1
11168,,73101839767934706-a,,,,8706,2,4,1069,,1
11169,,73101839618225719-a,,,,8707,2,4,1069,,1
11170,,73101839896905661-a,,,,8708,2,4,1075,,1
11171,,73101839896905661-cs,,,,8708,1,4,85,,1
11172,,73101839940203061-a,,,,8709,2,4,1076,,1
11173,,73101839940203061-cs,,,,8709,1,4,85,,1
11174,,7310183927284312-a,,,,8710,2,4,1073,,1
11175,,7310183927284312-cs,,,,8710,1,4,85,,1
11176,,73101839181033043-a,,,,8711,2,4,1074,,1
11177,,73101839181033043-cs,,,,8711,1,4,81,,1
11178,,73101839728339152-a,,,,8712,2,4,1075,,1
11179,,73101839170426714-a,,,,8713,2,4,1069,,1
11180,,73101839892942647-a,,,,8714,2,4,1069,,1
11181,,73101839605087297-a,,,,8715,2,4,1075,,1
11182,,7310183916584108-a,,,,8716,2,4,1077,,1
11183,,7310183916584108-cs,,,,8716,1,4,83,,1
11184,,73101839966054999-a,,,,8717,2,4,1073,,1
11185,,73101839966054999-cs,,,,8717,1,4,85,,1
11186,,73101839116310464-a,,,,8718,2,4,1076,,1
11187,,73101839116310464-cs,,,,8718,1,4,85,,1
11188,,73101839929907016-a,,,,8719,2,4,1074,,1
11189,,73101839929907016-cs,,,,8719,1,4,81,,1
11190,,7310183943664766-a,,,,8720,2,4,1075,,1
11191,,73101839264291641-a,,,,8721,2,4,1075,,1
11192,,73101839129153454-a,,,,8722,2,4,1074,,1
11193,,73101839129153454-cs,,,,8722,1,4,81,,1
11194,,73101839745743243-a,,,,8723,2,4,1075,,1
11195,,73101839635581539-a,,,,8724,2,4,1074,,1
11196,,73101839635581539-cs,,,,8724,1,4,81,,1
11197,,73101839585088247-a,,,,8725,2,4,1074,,1
11198,,73101839585088247-cs,,,,8725,1,4,81,,1
11199,,7310183979286559-a,,,,8726,2,4,1071,,1
11200,,73101839753979864-a,,,,8727,2,4,1075,,1
11201,,73101839387660486-a,,,,8728,2,4,1075,,1
11202,,73101839335697286-a,,,,8729,2,4,1071,,1
11203,,73101839335697286-cs,,,,8729,1,4,81,,1
11204,,73101839104864081-a,,,,8730,2,4,1075,,1
11205,,73101839695362094-a,,,,8731,2,4,1075,,1
11206,,73101839870784358-a,,,,8732,2,4,1070,,1
11207,,73101839612213416-a,,,,8733,2,4,1075,,1
11208,,73101839995453062-a,,,,8734,2,4,1075,,1
11209,,73101839210059725-a,,,,8735,2,4,1071,,1
11210,,73101839922906684-a,,,,8736,2,4,1075,,1
11211,,73101839708695017-a,,,,8737,2,4,1075,,1
11212,,73101839397670921-a,,,,8738,2,4,1071,,1
11213,,73101839160244105-a,,,,8739,2,4,1071,,1
11214,,73101839817538875-a,,,,8740,2,4,1075,,1
11215,,73101839745669233-a,,,,8741,2,4,1075,,1
11216,,73101839173487334-a,,,,8742,2,4,1071,,1
11217,,73101839485346242-a,,,,8743,2,4,1075,,1
11218,,73101839496619731-a,,,,8744,2,4,1071,,1
11219,,73101839217046340-a,,,,8745,2,4,1071,,1
11220,,73101839951752928-a,,,,8746,2,4,1071,,1
11221,,73101839899776171-a,,,,8747,2,4,1075,,1
11222,,73101839286559496-a,,,,8748,2,4,1075,,1
11223,,73101839152356921-a,,,,8749,2,4,1077,,1
11224,,73101839152356921-cs,,,,8749,1,4,84,,1
11225,,73101839725249650-a,,,,8750,2,4,1071,,1
11226,,73101839625558533-a,,,,8751,2,4,1075,,1
11227,,73101839312043841-a,,,,8752,2,4,1075,,1
11228,,73101839894078699-a,,,,8753,2,4,1075,,1
11229,,73101839894078699-cs,,,,8753,1,4,81,,1
11230,,73101839222443230-a,,,,8754,2,4,1075,,1
11231,,73101839523442572-a,,,,8755,2,4,1077,,1
11232,,73101839523442572-cs,,,,8755,1,4,83,,1
11233,,73101839884632846-a,,,,8756,2,4,1074,,1
11234,,73101839884632846-cs,,,,8756,1,4,81,,1
11235,,73101839460418642-a,,,,8757,2,4,1077,,1
11236,,73101839460418642-cs,,,,8757,1,4,84,,1
11237,,73101839196166150-a,,,,8758,2,4,1075,,1
11238,,73101839691409126-a,,,,8759,2,4,1071,,1
11239,,73101839953447788-a,,,,8760,2,4,1075,,1
11240,,73101839477715057-a,,,,8761,2,4,1077,,1
11241,,73101839477715057-cs,,,,8761,1,4,83,,1
11242,,73101839321450503-a,,,,8762,2,4,1070,,1
11243,,73101839321450503-cs,,,,8762,1,4,85,,1
11244,,73101839331124378-a,,,,8763,2,4,1075,,1
11245,,73101839400625318-a,,,,8764,2,4,1075,,1
11246,,73101839387595810-a,,,,8765,2,4,1070,,1
11247,,73101839387595810-cs,,,,8765,1,4,85,,1
11248,,73101839352861875-a,,,,8766,2,4,1075,,1
11249,,73101839752012781-a,,,,8767,2,4,1075,,1
11250,,73101839927396392-a,,,,8768,2,4,1071,,1
11251,,73101839515862654-a,,,,8769,2,4,1075,,1
11252,,7310183926284079-a,,,,8770,2,4,1075,,1
11253,,73101839198913606-a,,,,8771,2,4,1071,,1
