pk,vocabulary_pk,fm_dl_id,wals_equivalent,affiliation,family,genus,countries
217,,873054133686346,http://wals.info/languoid/lect/wals_code_mic,"Algic, Algonquian",http://wals.info/languoid/family/algic,http://wals.info/languoid/genus/algonquian,
218,,873046639352096,http://wals.info/languoid/lect/wals_code_min,"Austronesian, Malayic",Austronesian,Malayic,
219,,873046525654720,http://wals.info/languoid/lect/wals_code_mir,"Australian, Djeragan",Australian,Djeragan,
220,,873046109548723,http://wals.info/languoid/family/mixezoque,Oto-Manguean,http://wals.info/languoid/family/otomanguean,,
221,,873046283591339,,Mayan,http://wals.info/languoid/family/mayan,,
222,,9219164875844292,http://wals.info/languoid/lect/wals_code_khm,Austro-Asiatic,http://wals.info/languoid/family/austroasiatic,,
223,,810252249607785882,http://wals.info/languoid/lect/wals_code_mon,Austro-Asiatic,http://wals.info/languoid/family/austroasiatic,,
224,,810252249800105460,http://wals.info/languoid/lect/wals_code_mon,"Austro-Asiatic, Monic",Austro-Asiatic,Monic,
225,,873054667397354,http://wals.info/languoid/family/austroasiatic,Austro-Asiatic,http://wals.info/languoid/family/austroasiatic,,
285,,810252250720723903,,Austro-Asiatic,http://wals.info/languoid/family/austroasiatic,,
226,,873046233944681,http://wals.info/languoid/lect/wals_code_kha,"Altaic, Mongolic",http://wals.info/languoid/family/altaic,http://wals.info/languoid/genus/mongolic,
227,,873046635646989,http://wals.info/languoid/genus/mongolic,Altaic,http://wals.info/languoid/family/altaic,,
228,,87304618686474,http://wals.info/languoid/lect/wals_code_mop,"Mayan, Mayan",Mayan,Mayan,
229,,873046590936442,http://wals.info/languoid/lect/wals_code_mdb,"Australian, Pama-Nyungan",Australian,Pama-Nyungan,
230,,87304614586395,,"Uto-Aztecan, Aztecan",http://wals.info/languoid/family/utoaztecan,http://wals.info/languoid/genus/aztecan,
231,,91291432888773387,http://wals.info/languoid/lect/wals_code_mhc,"Algic, Algonquian",http://wals.info/languoid/family/algic,http://wals.info/languoid/genus/algonquian,
232,,873046923082155,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
233,,873046491209709,http://wals.info/languoid/lect/wals_code_nep,"Indo-European, Indic",Indo-European,Indic,
234,,873046902957802,,"Australian, Jaminjungan",http://wals.info/languoid/family/australian,http://wals.info/languoid/genus/jaminjungan,
235,,873046108013825,,"Australian, Pama-Nyungan",http://wals.info/languoid/family/australian,http://wals.info/languoid/genus/pamanyungan,
236,,87304664544101,http://wals.info/languoid/lect/wals_code_ngy,"Australian, Pama-Nyungan",Australian,Pama-Nyungan,
237,,873046427857170,http://wals.info/languoid/family/nigercongo,,,,
238,,873046350174209,http://wals.info/languoid/family/nilosaharan,,,,
239,,873046257383607,,"Trans-New Guinea, Madang",http://wals.info/languoid/family/transnewguinea,http://wals.info/languoid/genus/madang,
240,,873046593809565,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
241,,873046382821820,http://wals.info/languoid/lect/wals_code_nor,"Indo-European, Germanic",Indo-European,Germanic,
242,,92142231875844292,,Jaminjungan,http://wals.info/languoid/family/australian,http://wals.info/languoid/genus/jaminjungan,
243,,873046501840906,http://wals.info/languoid/lect/wals_code_nup,"Niger-Congo, Nupoid",Niger-Congo,Nupoid,
244,,873046213894080,http://wals.info/languoid/lect/wals_code_nym,"Niger-Congo, Bantoid",Niger-Congo,Bantoid,
245,,873054321144860,http://wals.info/languoid/lect/wals_code_nju,"Australian, Pama-Nyungan",Australian,Pama-Nyungan,
246,,91291433784987605,http://wals.info/languoid/lect/wals_code_occ,"Indo-European, Romance",Indo-European,Romance,
247,,8730467346106,,"Altaic, Turkic",http://wals.info/languoid/family/altaic,http://wals.info/languoid/genus/turkic,
248,,873046598078357,,Sino-Tibetan,http://wals.info/languoid/family/sinotibetan,,
249,,873046836323888,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
250,,873054216930664,http://wals.info/languoid/genus/indic,Indo-European,http://wals.info/languoid/family/indoeuropean,,
251,,873054634766640,,"Indo-European, Indic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/indic,
252,,873046866422228,,"Indo-European, Celtic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/celtic,
253,,873046416584916,,Austronesian,http://wals.info/languoid/family/austronesian,,
254,,810252249965610818,,Austro-Asiatic,http://wals.info/languoid/family/austroasiatic,,
255,,873054588017310,,Indo-European,http://wals.info/languoid/family/indoeuropean,,
256,,810252249823799617,,"Austro-Asiatic, Monic",http://wals.info/languoid/family/austroasiatic,http://wals.info/languoid/genus/monic,
257,,873046395128228,http://wals.info/languoid/lect/wals_code_non,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
258,,873054961199770,,Indo-European,http://wals.info/languoid/family/indoeuropean,,
259,,873054360535314,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
260,,810252250885646989,,Indo-European,http://wals.info/languoid/family/indoeuropean,,
261,,873046813362426,,"Indo-European, Slavic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/slavic,
262,,873054156620773,,"Tai-Kadai, Kam-Tai",http://wals.info/languoid/family/taikadai,http://wals.info/languoid/genus/kamtai,
263,,873046208736317,,Afro-Asiatic,http://wals.info/languoid/family/afroasiatic,,
264,,9291348461191679,http://wals.info/languoid/lect/wals_code_oss,"Indo-European, Iranian",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/iranian,
265,,873054243481159,http://wals.info/languoid/lect/wals_code_tpi,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
266,,8730543035320,,Indo-European,http://wals.info/languoid/family/indoeuropean,,
267,,9214223186323888,http://wals.info/languoid/genus/pamanyungan,Australian,http://wals.info/languoid/family/australian,,
268,,873046921256871,http://wals.info/languoid/genus/munda,Austro-Asiatic,http://wals.info/languoid/family/austroasiatic,,
269,,873046949909344,http://wals.info/languoid/lect/wals_code_prs,"Indo-European, Iranian",Indo-European,Iranian,
271,,873054977880251,,"Afro-Asiatic, Semitic",http://wals.info/languoid/family/afroasiatic,http://wals.info/languoid/genus/semitic,
272,,873046907122147,http://wals.info/languoid/lect/wals_code_pga,"Guaicuruan, Guaicuruan",Guaicuruan,Guaicuruan,
273,,873046889817557,http://wals.info/languoid/lect/wals_code_pol,"Indo-European, Slavic",Indo-European,Slavic,
274,,873046873968695,http://wals.info/languoid/lect/wals_code_por,"Indo-European, Romance",Indo-European,Romance,
275,,87304627091627,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
277,,873046297571500,,Austronesian,http://wals.info/languoid/family/austronesian,,
278,,873046612628569,,Afro-Asiatic,http://wals.info/languoid/family/afroasiatic,,
279,,873046375817797,,"Niger-Congo, Bantoid",http://wals.info/languoid/family/nigercongo,http://wals.info/languoid/genus/bantoid,
281,,81025225028567709,,Austronesian,http://wals.info/languoid/family/austronesian,,
282,,92142234869134148,,Austro-Asiatic,http://wals.info/languoid/family/austroasiatic,,
283,,873054204894217,,Austronesian,http://wals.info/languoid/family/austronesian,,
284,,873054981625977,,Austronesian,http://wals.info/languoid/family/austronesian,,
286,,873054276131155,,"Austronesian, Oceanic",http://wals.info/languoid/family/austronesian,http://wals.info/languoid/genus/oceanic,
288,,922122086323888,,Afro-Asiatic,http://wals.info/languoid/family/afroasiatic,,
289,,873054527137720,,"Uralic, Finnic",http://wals.info/languoid/family/uralic,http://wals.info/languoid/genus/finnic,
290,,873054965743450,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
291,,873046947505712,,Mayan,http://wals.info/languoid/family/mayan,,
292,,92142232302019369,,Hmong-Mien,http://wals.info/languoid/family/hmongmien,,
293,,877172852071881,,Indo-European,http://wals.info/languoid/family/indoeuropean,,
