pk,jsondata,name,description,markup_description,id,type,lang,version
401,,mnk,,,iso639-3-mnk,iso639-3,en,1
402,,mand1436,,,mand1436,glottolog,en,1
403,,mde,,,wals-mde,wals,en,1
404,,men,,,iso639-3-men,iso639-3,en,1
405,,mend1266,,,mend1266,glottolog,en,1
406,,ltc,,,iso639-3-ltc,iso639-3,en,1
407,,midd1344,,,midd1344,glottolog,en,1
408,,dum,,,iso639-3-dum,iso639-3,en,1
409,,midd1321,,,midd1321,glottolog,en,1
410,,frm,,,iso639-3-frm,iso639-3,en,1
411,,midd1316,,,midd1316,glottolog,en,1
412,,mic,,,wals-mic,wals,en,1
413,,mic,,,iso639-3-mic,iso639-3,en,1
414,,mikm1235,,,mikm1235,glottolog,en,1
415,,min,,,wals-min,wals,en,1
416,,min,,,iso639-3-min,iso639-3,en,1
417,,mina1268,,,mina1268,glottolog,en,1
418,,mir,,,wals-mir,wals,en,1
419,,mep,,,iso639-3-mep,iso639-3,en,1
420,,miri1266,,,miri1266,glottolog,en,1
421,,mhc,,,iso639-3-mhc,iso639-3,en,1
422,,moch1257,,,moch1257,glottolog,en,1
423,,mon,,,wals-mon,wals,en,1
424,,mnw,,,iso639-3-mnw,iso639-3,en,1
425,,monn1252,,,monn1252,glottolog,en,1
426,,mop,,,wals-mop,wals,en,1
427,,mop,,,iso639-3-mop,iso639-3,en,1
428,,mopa1243,,,mopa1243,glottolog,en,1
429,,mhc,,,wals-mhc,wals,en,1
430,,mof,,,iso639-3-mof,iso639-3,en,1
431,,mohe1244,,,mohe1244,glottolog,en,1
432,,nep,,,wals-nep,wals,en,1
433,,nep,,,iso639-3-nep,iso639-3,en,1
434,,nepa1252,,,nepa1252,glottolog,en,1
435,,ngy,,,wals-ngy,wals,en,1
436,,nbj,,,iso639-3-nbj,iso639-3,en,1
437,,ngar1235,,,ngar1235,glottolog,en,1
438,,gaw,,,iso639-3-gaw,iso639-3,en,1
439,,nobo1238,,,nobo1238,glottolog,en,1
440,,nor,,,wals-nor,wals,en,1
441,,nob,,,iso639-3-nob,iso639-3,en,1
442,,norw1259,,,norw1259,glottolog,en,1
443,,nug,,,iso639-3-nug,iso639-3,en,1
444,,nung1291,,,nung1291,glottolog,en,1
445,,nup,,,wals-nup,wals,en,1
446,,nup,,,iso639-3-nup,iso639-3,en,1
447,,nupe1254,,,nupe1254,glottolog,en,1
448,,nym,,,wals-nym,wals,en,1
449,,nym,,,iso639-3-nym,iso639-3,en,1
450,,nyam1276,,,nyam1276,glottolog,en,1
451,,nju,,,wals-nju,wals,en,1
452,,nys,,,iso639-3-nys,iso639-3,en,1
453,,nyun1247,,,nyun1247,glottolog,en,1
454,,occ,,,wals-occ,wals,en,1
455,,oci,,,iso639-3-oci,iso639-3,en,1
