borrowed_score,age_score,simplicity_score,pk,borrowed,analyzability
1,0.7,1,8297,1. clearly borrowed,unanalyzable
0,1,0.75,8298,5. no evidence for borrowing,semi-analyzable
1,0.7,1,8299,1. clearly borrowed,unanalyzable
1,0.7,1,8300,1. clearly borrowed,unanalyzable
0.25,1,1,8301,4. very little evidence for borrowing,unanalyzable
0,1,1,8302,5. no evidence for borrowing,unanalyzable
0,1,1,8303,5. no evidence for borrowing,unanalyzable
0.25,1,1,8304,4. very little evidence for borrowing,unanalyzable
1,1,1,8305,1. clearly borrowed,unanalyzable
0.75,1,1,8306,2. probably borrowed,unanalyzable
0,1,1,8307,5. no evidence for borrowing,unanalyzable
1,0.7,1,8308,1. clearly borrowed,unanalyzable
1,1,1,8309,1. clearly borrowed,unanalyzable
0,1,1,8310,5. no evidence for borrowing,unanalyzable
0,1,1,8311,5. no evidence for borrowing,unanalyzable
1,1,1,8312,1. clearly borrowed,unanalyzable
1,1,0.75,8313,1. clearly borrowed,semi-analyzable
0.25,1,1,8314,4. very little evidence for borrowing,unanalyzable
1,0.7,1,8315,1. clearly borrowed,unanalyzable
0,1,1,8316,5. no evidence for borrowing,unanalyzable
0,1,0.5,8317,5. no evidence for borrowing,analyzable phrasal
0,1,1,8318,5. no evidence for borrowing,unanalyzable
0,1,1,8319,5. no evidence for borrowing,unanalyzable
1,1,1,8320,1. clearly borrowed,unanalyzable
0,1,1,8321,5. no evidence for borrowing,unanalyzable
0,1,1,8322,5. no evidence for borrowing,unanalyzable
1,0.7,1,8323,1. clearly borrowed,unanalyzable
1,1,1,8324,1. clearly borrowed,unanalyzable
1,0.7,1,8325,1. clearly borrowed,unanalyzable
0,1,1,8326,5. no evidence for borrowing,unanalyzable
0,1,1,8327,5. no evidence for borrowing,unanalyzable
0.25,1,1,8328,4. very little evidence for borrowing,unanalyzable
0,1,1,8329,5. no evidence for borrowing,unanalyzable
1,1,1,8330,1. clearly borrowed,unanalyzable
1,0.7,1,8331,1. clearly borrowed,unanalyzable
1,0.7,1,8332,1. clearly borrowed,unanalyzable
1,0.7,1,8333,1. clearly borrowed,unanalyzable
0,1,1,8334,5. no evidence for borrowing,unanalyzable
0.25,1,1,8335,4. very little evidence for borrowing,unanalyzable
0,1,0.75,8336,5. no evidence for borrowing,semi-analyzable
1,1,1,8337,1. clearly borrowed,unanalyzable
0,1,1,8338,5. no evidence for borrowing,unanalyzable
1,0.7,1,8339,1. clearly borrowed,unanalyzable
0.75,1,1,8340,2. probably borrowed,unanalyzable
1,0.7,1,8341,1. clearly borrowed,unanalyzable
1,0.7,1,8342,1. clearly borrowed,unanalyzable
1,0.7,1,8343,1. clearly borrowed,unanalyzable
1,0.7,1,8344,1. clearly borrowed,unanalyzable
0,1,1,8345,5. no evidence for borrowing,unanalyzable
0,1,1,8346,5. no evidence for borrowing,unanalyzable
0,1,1,8347,5. no evidence for borrowing,unanalyzable
0,1,1,8348,5. no evidence for borrowing,unanalyzable
0.25,1,1,8349,4. very little evidence for borrowing,unanalyzable
0,1,1,8350,5. no evidence for borrowing,unanalyzable
0,1,1,8351,5. no evidence for borrowing,unanalyzable
0,1,1,8352,5. no evidence for borrowing,unanalyzable
0,1,1,8353,5. no evidence for borrowing,unanalyzable
0,1,1,8354,5. no evidence for borrowing,unanalyzable
0,1,1,8355,5. no evidence for borrowing,unanalyzable
0.5,1,1,8356,3. perhaps borrowed,unanalyzable
0,1,1,8357,5. no evidence for borrowing,unanalyzable
0,1,1,8358,5. no evidence for borrowing,unanalyzable
0,1,1,8359,5. no evidence for borrowing,unanalyzable
0.5,1,1,8360,3. perhaps borrowed,unanalyzable
0,1,1,8361,5. no evidence for borrowing,unanalyzable
0,1,0.5,8362,5. no evidence for borrowing,analyzable derived
0,1,1,8363,5. no evidence for borrowing,unanalyzable
0,1,1,8364,5. no evidence for borrowing,unanalyzable
0,1,1,8365,5. no evidence for borrowing,unanalyzable
0,1,1,8366,5. no evidence for borrowing,unanalyzable
0,1,1,8367,5. no evidence for borrowing,unanalyzable
0,1,1,8368,5. no evidence for borrowing,unanalyzable
0,1,1,8369,5. no evidence for borrowing,unanalyzable
1,0.7,1,8370,1. clearly borrowed,unanalyzable
0,1,1,8371,5. no evidence for borrowing,unanalyzable
0,1,1,8372,5. no evidence for borrowing,unanalyzable
0,1,0.5,8373,5. no evidence for borrowing,analyzable phrasal
0,1,0.5,8374,5. no evidence for borrowing,analyzable phrasal
,,,58147,,
,,,58148,,
0,1,0.5,8375,5. no evidence for borrowing,analyzable phrasal
0,1,1,8376,5. no evidence for borrowing,unanalyzable
0,1,1,8377,5. no evidence for borrowing,unanalyzable
0,1,1,8378,5. no evidence for borrowing,unanalyzable
0,1,1,8379,5. no evidence for borrowing,unanalyzable
0,1,1,8380,5. no evidence for borrowing,unanalyzable
0,1,0.5,8381,5. no evidence for borrowing,analyzable compound
0,1,1,8382,5. no evidence for borrowing,unanalyzable
0,1,1,8383,5. no evidence for borrowing,unanalyzable
0,1,1,8384,5. no evidence for borrowing,unanalyzable
1,0.7,1,8385,1. clearly borrowed,unanalyzable
1,0.7,1,8386,1. clearly borrowed,unanalyzable
1,0.7,1,8387,1. clearly borrowed,unanalyzable
1,1,1,8388,1. clearly borrowed,unanalyzable
0,1,0.5,8389,5. no evidence for borrowing,analyzable phrasal
0.25,1,1,8390,4. very little evidence for borrowing,unanalyzable
0,1,1,8391,5. no evidence for borrowing,unanalyzable
0,1,1,8392,5. no evidence for borrowing,unanalyzable
0.25,1,1,8393,4. very little evidence for borrowing,unanalyzable
0,1,0.5,8394,5. no evidence for borrowing,analyzable phrasal
0,1,0.5,8395,5. no evidence for borrowing,analyzable phrasal
0,1,0.5,8396,5. no evidence for borrowing,analyzable phrasal
0.25,1,0.5,8397,4. very little evidence for borrowing,analyzable phrasal
0,1,1,8398,5. no evidence for borrowing,unanalyzable
1,1,1,8399,1. clearly borrowed,unanalyzable
0,1,1,8400,5. no evidence for borrowing,unanalyzable
0,1,1,8401,5. no evidence for borrowing,unanalyzable
0,1,1,8402,5. no evidence for borrowing,unanalyzable
0,1,1,8403,5. no evidence for borrowing,unanalyzable
0,1,1,8404,5. no evidence for borrowing,unanalyzable
1,1,1,8405,1. clearly borrowed,unanalyzable
0,1,1,8406,5. no evidence for borrowing,unanalyzable
1,1,1,8407,1. clearly borrowed,unanalyzable
1,1,0.75,8408,1. clearly borrowed,semi-analyzable
0,1,1,8409,5. no evidence for borrowing,unanalyzable
0,1,1,8410,5. no evidence for borrowing,unanalyzable
0,1,1,8411,5. no evidence for borrowing,unanalyzable
0,1,0.5,8412,5. no evidence for borrowing,analyzable derived
0,1,1,8413,5. no evidence for borrowing,unanalyzable
0,1,1,8414,5. no evidence for borrowing,unanalyzable
0,1,1,8415,5. no evidence for borrowing,unanalyzable
0,1,1,8416,5. no evidence for borrowing,unanalyzable
1,1,1,8417,1. clearly borrowed,unanalyzable
0.25,1,1,8418,4. very little evidence for borrowing,unanalyzable
0,1,1,8419,5. no evidence for borrowing,unanalyzable
1,1,1,8420,1. clearly borrowed,unanalyzable
0,1,0.5,8421,5. no evidence for borrowing,analyzable compound
0,1,1,8422,5. no evidence for borrowing,unanalyzable
0,1,1,8423,5. no evidence for borrowing,unanalyzable
0.5,1,1,8424,3. perhaps borrowed,unanalyzable
1,1,1,8425,1. clearly borrowed,unanalyzable
0,1,0.5,8426,5. no evidence for borrowing,analyzable compound
0,1,1,8427,5. no evidence for borrowing,unanalyzable
1,1,1,8428,1. clearly borrowed,unanalyzable
0,1,1,8429,5. no evidence for borrowing,unanalyzable
0,1,1,8430,5. no evidence for borrowing,unanalyzable
0,1,1,8431,5. no evidence for borrowing,unanalyzable
0,1,0.5,8432,5. no evidence for borrowing,analyzable phrasal
0,1,0.5,8433,5. no evidence for borrowing,analyzable compound
0,1,1,8434,5. no evidence for borrowing,unanalyzable
0,1,1,8435,5. no evidence for borrowing,unanalyzable
0,1,1,8436,5. no evidence for borrowing,unanalyzable
0,1,0.5,8437,5. no evidence for borrowing,analyzable compound
0,1,1,8438,5. no evidence for borrowing,unanalyzable
0.25,1,1,8439,4. very little evidence for borrowing,unanalyzable
0,1,1,8440,5. no evidence for borrowing,unanalyzable
0,1,0.5,8441,5. no evidence for borrowing,analyzable phrasal
0,1,1,8442,5. no evidence for borrowing,unanalyzable
0,1,1,8443,5. no evidence for borrowing,unanalyzable
0,1,1,8444,5. no evidence for borrowing,unanalyzable
0.5,1,1,8445,3. perhaps borrowed,unanalyzable
0,1,1,8446,5. no evidence for borrowing,unanalyzable
0,1,1,8447,5. no evidence for borrowing,unanalyzable
1,1,1,8448,1. clearly borrowed,unanalyzable
0,1,1,8449,5. no evidence for borrowing,unanalyzable
0,1,1,8450,5. no evidence for borrowing,unanalyzable
0,1,0.5,8451,5. no evidence for borrowing,analyzable compound
0,1,0.5,8452,5. no evidence for borrowing,analyzable compound
0,1,1,8453,5. no evidence for borrowing,unanalyzable
0,1,1,8454,5. no evidence for borrowing,unanalyzable
0,1,0.5,8455,5. no evidence for borrowing,analyzable compound
1,1,1,8456,1. clearly borrowed,unanalyzable
0,1,1,8457,5. no evidence for borrowing,unanalyzable
0,1,0.5,8458,5. no evidence for borrowing,analyzable compound
0,1,0.5,8459,5. no evidence for borrowing,analyzable compound
0,1,0.5,8460,5. no evidence for borrowing,analyzable compound
0,1,0.5,8461,5. no evidence for borrowing,analyzable compound
0,1,0.5,8462,5. no evidence for borrowing,analyzable compound
0,1,0.5,8463,5. no evidence for borrowing,analyzable compound
0,1,0.5,8464,5. no evidence for borrowing,analyzable compound
0.25,1,0.75,8465,4. very little evidence for borrowing,semi-analyzable
0,1,1,8466,5. no evidence for borrowing,unanalyzable
0,1,1,8467,5. no evidence for borrowing,unanalyzable
0,1,0.5,8468,5. no evidence for borrowing,analyzable phrasal
0,1,1,8469,5. no evidence for borrowing,unanalyzable
0,1,1,8470,5. no evidence for borrowing,unanalyzable
0,1,1,8471,5. no evidence for borrowing,unanalyzable
0,1,1,8472,5. no evidence for borrowing,unanalyzable
0,1,1,8473,5. no evidence for borrowing,unanalyzable
0,1,1,8474,5. no evidence for borrowing,unanalyzable
0,1,1,8475,5. no evidence for borrowing,unanalyzable
0,1,1,8476,5. no evidence for borrowing,unanalyzable
1,0.7,1,8477,1. clearly borrowed,unanalyzable
0.25,1,1,8478,4. very little evidence for borrowing,unanalyzable
1,0.7,1,8479,1. clearly borrowed,unanalyzable
0,1,0.5,8480,5. no evidence for borrowing,analyzable compound
0,1,1,8481,5. no evidence for borrowing,unanalyzable
0,1,1,8482,5. no evidence for borrowing,unanalyzable
0,1,1,8483,5. no evidence for borrowing,unanalyzable
0,1,1,8484,5. no evidence for borrowing,unanalyzable
0.25,1,1,8485,4. very little evidence for borrowing,unanalyzable
1,1,1,8486,1. clearly borrowed,unanalyzable
0,1,0.5,8487,5. no evidence for borrowing,analyzable compound
0,1,0.5,8488,5. no evidence for borrowing,analyzable compound
0,1,1,8489,5. no evidence for borrowing,unanalyzable
0,1,1,8490,5. no evidence for borrowing,unanalyzable
0,1,1,8491,5. no evidence for borrowing,unanalyzable
1,1,0.75,8492,1. clearly borrowed,semi-analyzable
1,1,1,8493,1. clearly borrowed,unanalyzable
0,1,1,8494,5. no evidence for borrowing,unanalyzable
0,1,1,8495,5. no evidence for borrowing,unanalyzable
0,1,1,8496,5. no evidence for borrowing,unanalyzable
0.25,1,1,8497,4. very little evidence for borrowing,unanalyzable
1,1,1,8498,1. clearly borrowed,unanalyzable
0,1,1,8499,5. no evidence for borrowing,unanalyzable
0,1,1,8500,5. no evidence for borrowing,unanalyzable
1,0.7,1,8501,1. clearly borrowed,unanalyzable
0,1,1,8502,5. no evidence for borrowing,unanalyzable
1,0.7,1,8503,1. clearly borrowed,unanalyzable
0,1,1,8504,5. no evidence for borrowing,unanalyzable
1,1,1,8505,1. clearly borrowed,unanalyzable
0,1,1,8506,5. no evidence for borrowing,unanalyzable
1,1,1,8507,1. clearly borrowed,unanalyzable
0,1,1,8508,5. no evidence for borrowing,unanalyzable
0,1,1,8509,5. no evidence for borrowing,unanalyzable
0,1,1,8510,5. no evidence for borrowing,unanalyzable
1,0.7,1,8511,1. clearly borrowed,unanalyzable
1,0.7,1,8512,1. clearly borrowed,unanalyzable
1,0.7,1,8513,1. clearly borrowed,unanalyzable
0,1,1,8514,5. no evidence for borrowing,unanalyzable
0,1,1,8515,5. no evidence for borrowing,unanalyzable
0,1,1,8516,5. no evidence for borrowing,unanalyzable
0.25,1,1,8517,4. very little evidence for borrowing,unanalyzable
0,1,0.5,8518,5. no evidence for borrowing,analyzable compound
0.5,1,1,8519,3. perhaps borrowed,unanalyzable
0.25,1,1,8520,4. very little evidence for borrowing,unanalyzable
1,0.7,1,8521,1. clearly borrowed,unanalyzable
1,0.7,1,8522,1. clearly borrowed,unanalyzable
0,1,1,8523,5. no evidence for borrowing,unanalyzable
1,1,1,8524,1. clearly borrowed,unanalyzable
1,0.7,1,8525,1. clearly borrowed,unanalyzable
0,1,1,8526,5. no evidence for borrowing,unanalyzable
1,0.7,1,8527,1. clearly borrowed,unanalyzable
0,1,1,8528,5. no evidence for borrowing,unanalyzable
0.25,1,1,8529,4. very little evidence for borrowing,unanalyzable
0,1,1,8530,5. no evidence for borrowing,unanalyzable
0,1,1,8531,5. no evidence for borrowing,unanalyzable
1,0.7,1,8532,1. clearly borrowed,unanalyzable
0,1,1,8533,5. no evidence for borrowing,unanalyzable
0.25,1,1,8534,4. very little evidence for borrowing,unanalyzable
0.5,1,1,8535,3. perhaps borrowed,unanalyzable
1,1,1,8536,1. clearly borrowed,unanalyzable
,,,58149,,
,,,58150,,
0,1,1,8537,5. no evidence for borrowing,unanalyzable
0,1,0.5,8538,5. no evidence for borrowing,analyzable compound
0,1,0.5,8539,5. no evidence for borrowing,analyzable compound
0,1,0.5,8540,5. no evidence for borrowing,analyzable compound
0.25,1,1,8541,4. very little evidence for borrowing,unanalyzable
0,1,1,8542,5. no evidence for borrowing,unanalyzable
0,1,1,8543,5. no evidence for borrowing,unanalyzable
0,1,1,8544,5. no evidence for borrowing,unanalyzable
0,1,1,8545,5. no evidence for borrowing,unanalyzable
1,0.7,1,8546,1. clearly borrowed,unanalyzable
0,1,0.5,8547,5. no evidence for borrowing,analyzable compound
0,1,1,8548,5. no evidence for borrowing,unanalyzable
0.25,1,1,8549,4. very little evidence for borrowing,unanalyzable
0,1,1,8550,5. no evidence for borrowing,unanalyzable
1,1,1,8551,1. clearly borrowed,unanalyzable
0,1,1,8552,5. no evidence for borrowing,unanalyzable
0,1,1,8553,5. no evidence for borrowing,unanalyzable
1,0.7,1,8554,1. clearly borrowed,unanalyzable
0,1,1,8555,5. no evidence for borrowing,unanalyzable
0,1,1,8556,5. no evidence for borrowing,unanalyzable
1,1,1,8557,1. clearly borrowed,unanalyzable
0.25,1,1,8558,4. very little evidence for borrowing,unanalyzable
0,1,0.5,8559,5. no evidence for borrowing,analyzable compound
0.25,1,1,8560,4. very little evidence for borrowing,unanalyzable
1,1,1,8561,1. clearly borrowed,unanalyzable
0,1,1,8562,5. no evidence for borrowing,unanalyzable
0,1,1,8563,5. no evidence for borrowing,unanalyzable
0,1,1,8564,5. no evidence for borrowing,unanalyzable
0.5,1,1,8565,3. perhaps borrowed,unanalyzable
0.25,1,1,8566,4. very little evidence for borrowing,unanalyzable
0.25,1,1,8567,4. very little evidence for borrowing,unanalyzable
0,1,0.5,8568,5. no evidence for borrowing,analyzable compound
0.25,1,1,8569,4. very little evidence for borrowing,unanalyzable
0,1,1,8570,5. no evidence for borrowing,unanalyzable
0,1,1,8571,5. no evidence for borrowing,unanalyzable
0,1,1,8572,5. no evidence for borrowing,unanalyzable
1,0.7,1,8573,1. clearly borrowed,unanalyzable
0,1,1,8574,5. no evidence for borrowing,unanalyzable
0,1,1,8575,5. no evidence for borrowing,unanalyzable
0,1,1,8576,5. no evidence for borrowing,unanalyzable
0,1,1,8577,5. no evidence for borrowing,unanalyzable
0,1,1,8578,5. no evidence for borrowing,unanalyzable
0,1,1,8579,5. no evidence for borrowing,unanalyzable
0,1,1,8580,5. no evidence for borrowing,unanalyzable
0,1,1,8581,5. no evidence for borrowing,unanalyzable
0,0.7,0.5,8582,5. no evidence for borrowing,analyzable compound
0,1,1,8583,5. no evidence for borrowing,unanalyzable
0,1,0.5,8584,5. no evidence for borrowing,analyzable compound
0,1,1,8585,5. no evidence for borrowing,unanalyzable
1,0.7,1,8586,1. clearly borrowed,unanalyzable
0,1,1,8587,5. no evidence for borrowing,unanalyzable
0,1,1,8588,5. no evidence for borrowing,unanalyzable
0,1,1,8589,5. no evidence for borrowing,unanalyzable
0,1,1,8590,5. no evidence for borrowing,unanalyzable
0,1,1,8591,5. no evidence for borrowing,unanalyzable
0,1,1,8592,5. no evidence for borrowing,unanalyzable
0,1,1,8593,5. no evidence for borrowing,unanalyzable
0,1,1,8594,5. no evidence for borrowing,unanalyzable
0,1,1,8595,5. no evidence for borrowing,unanalyzable
1,1,1,8596,1. clearly borrowed,unanalyzable
0,1,1,8597,5. no evidence for borrowing,unanalyzable
0,1,1,8598,5. no evidence for borrowing,unanalyzable
0,1,1,8599,5. no evidence for borrowing,unanalyzable
0,1,1,8600,5. no evidence for borrowing,unanalyzable
0,1,1,8601,5. no evidence for borrowing,unanalyzable
0,1,1,8602,5. no evidence for borrowing,unanalyzable
0.75,1,1,8603,2. probably borrowed,unanalyzable
0,1,1,8604,5. no evidence for borrowing,unanalyzable
0.25,1,1,8605,4. very little evidence for borrowing,unanalyzable
0,1,1,8606,5. no evidence for borrowing,unanalyzable
0,1,1,8607,5. no evidence for borrowing,unanalyzable
0,1,1,8608,5. no evidence for borrowing,unanalyzable
0,1,1,8609,5. no evidence for borrowing,unanalyzable
0,1,1,8610,5. no evidence for borrowing,unanalyzable
0,1,1,8611,5. no evidence for borrowing,unanalyzable
0,1,1,8612,5. no evidence for borrowing,unanalyzable
0,1,1,8613,5. no evidence for borrowing,unanalyzable
0,1,1,8614,5. no evidence for borrowing,unanalyzable
0,1,1,8615,5. no evidence for borrowing,unanalyzable
0,1,1,8616,5. no evidence for borrowing,unanalyzable
0,1,1,8617,5. no evidence for borrowing,unanalyzable
0,1,1,8618,5. no evidence for borrowing,unanalyzable
0,1,1,8619,5. no evidence for borrowing,unanalyzable
1,1,1,8620,1. clearly borrowed,unanalyzable
1,0.7,1,8621,1. clearly borrowed,unanalyzable
1,0.7,1,8622,1. clearly borrowed,unanalyzable
0,1,1,8623,5. no evidence for borrowing,unanalyzable
0.25,0.7,1,8624,4. very little evidence for borrowing,unanalyzable
0,1,1,8625,5. no evidence for borrowing,unanalyzable
0,1,0.5,8626,5. no evidence for borrowing,analyzable compound
0,1,1,8627,5. no evidence for borrowing,unanalyzable
0,1,1,8628,5. no evidence for borrowing,unanalyzable
1,1,1,8629,1. clearly borrowed,unanalyzable
0,1,1,8630,5. no evidence for borrowing,unanalyzable
1,1,1,8631,1. clearly borrowed,unanalyzable
0,1,1,8632,5. no evidence for borrowing,unanalyzable
0,1,1,8633,5. no evidence for borrowing,unanalyzable
0,1,1,8634,5. no evidence for borrowing,unanalyzable
0,1,1,8635,5. no evidence for borrowing,unanalyzable
0.25,1,1,8636,4. very little evidence for borrowing,unanalyzable
0,1,1,8637,5. no evidence for borrowing,unanalyzable
0,1,1,8638,5. no evidence for borrowing,unanalyzable
1,0.7,1,8639,1. clearly borrowed,unanalyzable
0,1,1,8640,5. no evidence for borrowing,unanalyzable
0,1,1,8641,5. no evidence for borrowing,unanalyzable
0,1,1,8642,5. no evidence for borrowing,unanalyzable
0,1,1,8643,5. no evidence for borrowing,unanalyzable
0,1,1,8644,5. no evidence for borrowing,unanalyzable
1,0.7,1,8645,1. clearly borrowed,unanalyzable
0,1,1,8646,5. no evidence for borrowing,unanalyzable
0,1,1,8647,5. no evidence for borrowing,unanalyzable
0,1,1,8648,5. no evidence for borrowing,unanalyzable
0,1,1,8649,5. no evidence for borrowing,unanalyzable
0,1,1,8650,5. no evidence for borrowing,unanalyzable
1,1,1,8651,1. clearly borrowed,unanalyzable
0,1,1,8652,5. no evidence for borrowing,unanalyzable
0,1,1,8653,5. no evidence for borrowing,unanalyzable
0,1,1,8654,5. no evidence for borrowing,unanalyzable
0,1,0.5,8655,5. no evidence for borrowing,analyzable compound
0,1,1,8656,5. no evidence for borrowing,unanalyzable
0,1,1,8657,5. no evidence for borrowing,unanalyzable
1,1,1,8658,1. clearly borrowed,unanalyzable
0,1,1,8659,5. no evidence for borrowing,unanalyzable
0,1,1,8660,5. no evidence for borrowing,unanalyzable
0,1,0.5,8661,5. no evidence for borrowing,analyzable phrasal
0,1,1,8662,5. no evidence for borrowing,unanalyzable
0,1,1,8663,5. no evidence for borrowing,unanalyzable
0,1,1,8664,5. no evidence for borrowing,unanalyzable
1,0.7,1,8665,1. clearly borrowed,unanalyzable
0.25,1,1,8666,4. very little evidence for borrowing,unanalyzable
0,1,1,8667,5. no evidence for borrowing,unanalyzable
0,1,1,8668,5. no evidence for borrowing,unanalyzable
1,1,1,8669,1. clearly borrowed,unanalyzable
0,1,1,8670,5. no evidence for borrowing,unanalyzable
0,1,1,8671,5. no evidence for borrowing,unanalyzable
0,1,1,8672,5. no evidence for borrowing,unanalyzable
0,1,0.5,8673,5. no evidence for borrowing,analyzable derived
0,1,0.5,8674,5. no evidence for borrowing,analyzable derived
0,1,0.5,8675,5. no evidence for borrowing,analyzable derived
0,1,1,8676,5. no evidence for borrowing,unanalyzable
1,0.7,1,8677,1. clearly borrowed,unanalyzable
0,1,1,8678,5. no evidence for borrowing,unanalyzable
0,1,1,8679,5. no evidence for borrowing,unanalyzable
0.25,1,1,8680,4. very little evidence for borrowing,unanalyzable
0.5,1,1,8681,3. perhaps borrowed,unanalyzable
0,1,0.5,8682,5. no evidence for borrowing,analyzable compound
0.25,1,1,8683,4. very little evidence for borrowing,unanalyzable
1,0.7,1,8684,1. clearly borrowed,unanalyzable
0,1,1,8685,5. no evidence for borrowing,unanalyzable
0,1,1,8686,5. no evidence for borrowing,unanalyzable
0,1,0.5,8687,5. no evidence for borrowing,analyzable compound
0.5,1,1,8688,3. perhaps borrowed,unanalyzable
0,1,1,8689,5. no evidence for borrowing,unanalyzable
0.25,1,0.75,8690,4. very little evidence for borrowing,semi-analyzable
0,1,0.5,8691,5. no evidence for borrowing,analyzable compound
0,1,1,8692,5. no evidence for borrowing,unanalyzable
1,1,1,8693,1. clearly borrowed,unanalyzable
0,1,1,8694,5. no evidence for borrowing,unanalyzable
1,1,1,8695,1. clearly borrowed,unanalyzable
1,1,1,8696,1. clearly borrowed,unanalyzable
1,0.7,1,8697,1. clearly borrowed,unanalyzable
1,0.7,1,8698,1. clearly borrowed,unanalyzable
0,1,1,8780,5. no evidence for borrowing,unanalyzable
0,1,0.5,8699,5. no evidence for borrowing,analyzable compound
1,1,1,8700,1. clearly borrowed,unanalyzable
0,1,1,8701,5. no evidence for borrowing,unanalyzable
1,1,1,8702,1. clearly borrowed,unanalyzable
0.5,1,1,8703,3. perhaps borrowed,unanalyzable
1,1,1,8704,1. clearly borrowed,unanalyzable
0,1,1,8705,5. no evidence for borrowing,unanalyzable
0,1,1,8706,5. no evidence for borrowing,unanalyzable
0,1,1,8707,5. no evidence for borrowing,unanalyzable
0.5,1,0.75,8708,3. perhaps borrowed,semi-analyzable
1,1,1,8709,1. clearly borrowed,unanalyzable
1,1,1,8710,1. clearly borrowed,unanalyzable
1,1,1,8711,1. clearly borrowed,unanalyzable
0,1,1,8712,5. no evidence for borrowing,unanalyzable
0,1,1,8713,5. no evidence for borrowing,unanalyzable
0,1,1,8714,5. no evidence for borrowing,unanalyzable
0,1,0.5,8715,5. no evidence for borrowing,analyzable phrasal
0,0.7,0.5,8716,5. no evidence for borrowing,analyzable phrasal
1,1,1,8717,1. clearly borrowed,unanalyzable
1,1,1,8718,1. clearly borrowed,unanalyzable
1,1,1,8719,1. clearly borrowed,unanalyzable
0,1,0.5,8720,5. no evidence for borrowing,analyzable compound
0,1,1,8721,5. no evidence for borrowing,unanalyzable
1,1,1,8722,1. clearly borrowed,unanalyzable
0,1,1,8723,5. no evidence for borrowing,unanalyzable
1,1,1,8724,1. clearly borrowed,unanalyzable
1,1,1,8725,1. clearly borrowed,unanalyzable
0,1,1,8726,5. no evidence for borrowing,unanalyzable
0,1,1,8727,5. no evidence for borrowing,unanalyzable
0,1,1,8728,5. no evidence for borrowing,unanalyzable
0.25,1,1,8729,4. very little evidence for borrowing,unanalyzable
0,1,1,8730,5. no evidence for borrowing,unanalyzable
0,1,1,8731,5. no evidence for borrowing,unanalyzable
0.25,1,1,8732,4. very little evidence for borrowing,unanalyzable
0,1,0.5,8733,5. no evidence for borrowing,analyzable phrasal
0,1,0.5,8734,5. no evidence for borrowing,analyzable phrasal
0,1,1,8735,5. no evidence for borrowing,unanalyzable
0,1,1,8736,5. no evidence for borrowing,unanalyzable
0,1,0.5,8737,5. no evidence for borrowing,analyzable compound
0,1,1,8738,5. no evidence for borrowing,unanalyzable
0,1,1,8739,5. no evidence for borrowing,unanalyzable
0,1,1,8740,5. no evidence for borrowing,unanalyzable
0,1,1,8741,5. no evidence for borrowing,unanalyzable
0,1,1,8742,5. no evidence for borrowing,unanalyzable
0,1,0.5,8743,5. no evidence for borrowing,analyzable compound
0,1,1,8744,5. no evidence for borrowing,unanalyzable
0,1,1,8745,5. no evidence for borrowing,unanalyzable
0.25,1,1,8746,4. very little evidence for borrowing,unanalyzable
0,1,1,8747,5. no evidence for borrowing,unanalyzable
0,1,1,8748,5. no evidence for borrowing,unanalyzable
1,0.7,1,8749,1. clearly borrowed,unanalyzable
0,1,1,8750,5. no evidence for borrowing,unanalyzable
0,1,0.5,8751,5. no evidence for borrowing,analyzable compound
0,1,0.5,8752,5. no evidence for borrowing,analyzable compound
0,1,0.5,8753,5. no evidence for borrowing,analyzable compound
0,1,1,8754,5. no evidence for borrowing,unanalyzable
1,0.7,1,8755,1. clearly borrowed,unanalyzable
1,1,1,8756,1. clearly borrowed,unanalyzable
1,0.7,1,8757,1. clearly borrowed,unanalyzable
0,1,1,8758,5. no evidence for borrowing,unanalyzable
0,1,1,8759,5. no evidence for borrowing,unanalyzable
0,1,1,8760,5. no evidence for borrowing,unanalyzable
1,0.7,1,8761,1. clearly borrowed,unanalyzable
0.25,1,1,8762,4. very little evidence for borrowing,unanalyzable
0,1,1,8763,5. no evidence for borrowing,unanalyzable
0,1,0.5,8764,5. no evidence for borrowing,analyzable compound
0.25,1,1,8765,4. very little evidence for borrowing,unanalyzable
0,1,1,8766,5. no evidence for borrowing,unanalyzable
0,1,0.5,8767,5. no evidence for borrowing,analyzable compound
0,1,1,8768,5. no evidence for borrowing,unanalyzable
0,1,0.5,8769,5. no evidence for borrowing,analyzable phrasal
0,1,0.5,8770,5. no evidence for borrowing,analyzable derived
0,1,1,8771,5. no evidence for borrowing,unanalyzable
0.75,1,1,8772,2. probably borrowed,unanalyzable
1,1,1,8773,1. clearly borrowed,unanalyzable
1,0.7,1,8774,1. clearly borrowed,unanalyzable
0,0.7,0.5,8775,5. no evidence for borrowing,analyzable compound
0,1,1,8776,5. no evidence for borrowing,unanalyzable
1,1,1,8777,1. clearly borrowed,unanalyzable
0,1,0.5,8778,5. no evidence for borrowing,analyzable compound
0,1,0.5,8779,5. no evidence for borrowing,analyzable compound
,,,58151,,
0.5,1,1,8781,3. perhaps borrowed,unanalyzable
1,1,1,8782,1. clearly borrowed,unanalyzable
0,1,1,8783,5. no evidence for borrowing,unanalyzable
1,1,1,8784,1. clearly borrowed,unanalyzable
0.75,1,1,8785,2. probably borrowed,unanalyzable
